region,objeto,tipo_objeto,bortle,exposicion_seg,num_subs,snr_medio,camara,filtro
Atacama,NGC 3372,Nebulosa de emisión,1,180,40,35.2,ASI533MC Pro,Optolong L-Quad
Atacama,NGC 3372,Nebulosa de emisión,1,300,30,37.8,ASI533MC Pro,Optolong L-Quad
Valle Central,M42,Nebulosa brillante,5,120,60,28.5,ASI533MC Pro,Optolong L-Quad
Valle Central,M42,Nebulosa brillante,5,180,40,29.1,ASI533MC Pro,Optolong L-Quad
Las Condes,Roseta,Nebulosa de emisión,7,180,80,22.3,ASI533MC Pro,Optolong L-Quad
Las Condes,Roseta,Nebulosa de emisión,7,240,60,23.0,ASI533MC Pro,Optolong L-Quad
Farellones,NGC 253,Galaxia,3,180,90,31.4,ASI533MC Pro,Sin filtro
Farellones,NGC 253,Galaxia,3,240,60,32.1,ASI533MC Pro,Sin filtro
Costa,NGC 2070,Región HII,4,180,70,29.8,ASI533MC Pro,Optolong L-Quad
Costa,NGC 2070,Región HII,4,240,50,30.2,ASI533MC Pro,Optolong L-Quad
